point, temp, num 
강릉,21.3,57
강진군,21.2,50
강화,18.3,64
거제,20.6,57
거창,18.4,63
경주시,19.8,54
고산,20.2,66
고창,20.0,56
고창군,19.0,62
고흥,20.3,51
광양시,20.9,50
광주,20.0,49
구미,17.5,62
군산,18.7,59
금산,16.7,65
김해시,22.5,53
남원,19.2,52
남해,19.2,63
대관령,13.5,91
대구,20.0,59
대전,19.1,58
동두천,18.5,61
동해,19.5,55
목포,19.7,50
문경,18.9,62
밀양,21.3,46
백령도,16.0,68
보령,19.8,59
보성군,21.6,53
보은,18.3,57
봉화,17.9,55
부산,22.5,54
부안,18.7,58
부여,18.4,65
북강릉,19.4,58
북창원,19.4,60
북춘천,12.7,90
산청,18.5,63
상주,17.8,65
서귀포,22.2,60
서산,20.6,50
서울,19.3,58
성산,21.0,64
세종,17.5,61
속초,18.7,64
수원,19.6,54
순창군,18.8,58
순천,20.1,50
안동,17.3,69
양산시,21.8,50
양평,15.6,66
여수,19.4,54
영광군,19.1,58
영덕,20.1,58
영월,14.8,70
영주,18.7,55
영천,19.1,56
완도,21.7,54
울릉도,19.2,66
울산,20.3,52
울진,20.0,53
원주,16.6,59
의령군,21.4,52
의성,19.0,63
이천,16.7,69
인제,12.9,80
인천,20.3,54
임실,18.4,55
장수,18.0,57
장흥,21.1,49
전주,19.2,53
정읍,18.3,57
제주,20.2,70
제천,14.2,76
진도군,20.7,54
진주,20.9,53
창원,20.3,51
천안,18.0,61
철원,15.6,71
청송군,16.7,72
청주,17.7,64
추풍령,16.5,64
춘천,12.8,89
충주,16.8,69
태백,15.3,60
통영,20.6,66
파주,17.9,70
포항,20.1,64
함양군,19.2,52
합천,20.2,51
해남,21.0,51
홍성,18.2,66
홍천,11.3,86
흑산도,19.5,71
